Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"44001, Amherst, OH",44001,20271,141,160,254,276,19232,18272,1121,19150,18,9,4,833,99,18272,81076.73773,68914,32235,47,46,7698,265,54,3,1,3,187,17
"44011, Avon, OH",44011,21865,740,790,521,517,20082,19366,793,21072,38,9,3,603,52,19366,119544.2058,92559,43249,240,239,7343,173,27,7,1,2,125,11
"44012, Avon Lake, OH",44012,22751,324,369,267,287,21692,21116,597,22154,16,4,0,447,64,21116,112314.8662,92492,44382,123,123,8672,131,15,1,0,2,103,10
"44017, Berea, OH",44017,18689,300,288,1226,1143,16496,16200,571,18118,36,4,0,374,73,16200,74224.83123,61986,30055,83,83,6679,145,21,3,0,2,103,16
"44021, Burton, OH",44021,6634,37,35,62,59,6450,6416,61,6573,0,0,0,42,3,6416,76861.22084,64568,28237,9,9,2362,16,2,0,0,0,13,1
"44022, Chagrin Falls, OH",44022,16751,451,427,621,580,15404,15314,194,16557,8,2,1,158,4,15314,171724.9382,103660,68259,138,138,6232,52,6,4,0,1,40,1
"44023, Chagrin Falls, OH",44023,17181,177,169,574,546,16153,16037,200,16981,4,5,1,157,11,16037,134960.2523,102015,50052,53,52,6054,50,3,1,1,1,42,2
"44024, Chardon, OH",44024,24324,168,157,214,199,23628,23447,285,24039,3,5,1,217,16,23447,88484.53742,72631,34715,43,43,9288,84,13,0,0,1,68,2
"44026, Chesterland, OH",44026,11448,94,86,80,72,11134,11000,191,11257,0,1,0,161,7,11000,100476.5614,87983,38652,31,31,4287,41,5,0,0,0,36,0
"44028, Columbia Station, OH",44028,10148,49,51,772,799,9168,8989,190,9958,6,5,0,140,11,8989,91024.20438,77258,31115,13,13,3231,31,6,0,0,1,22,2
"44035, Elyria, OH",44035,63552,556,553,8792,8734,50723,48546,3143,60409,314,33,19,1830,424,48546,59355.96936,48599,24864,192,190,21946,787,185,54,2,16,465,65
"44039, North Ridgeville, OH",44039,29944,402,457,471,510,28302,27299,1065,28879,27,19,4,798,96,27299,84315.98819,73987,33029,128,127,11236,252,37,4,1,1,191,18
"44040, Gates Mills, OH",44040,2663,114,105,35,33,2462,2427,52,2611,0,0,0,49,0,2427,178658.7421,129082,72506,36,36,1021,18,1,0,0,0,17,0
"44044, Grafton, OH",44044,14218,46,47,1555,1605,12353,12086,286,13932,8,4,1,200,18,12086,84074.03568,68876,27275,9,9,4206,42,7,0,0,1,32,2
"44045, Grand River, OH",44045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44046, Huntsburg, OH",44046,2246,2,2,23,20,2201,2194,14,2232,1,0,0,10,1,2194,88311.56509,69822,26855,0,0,659,4,0,0,0,0,4,0
"44049, Kipton, OH",44049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44050, Lagrange, OH",44050,6215,17,20,44,50,5996,5869,127,6088,1,0,0,98,14,5869,78894.99473,67241,29224,3,3,2222,23,4,0,0,0,17,2
"44052, Lorain, OH",44052,29754,89,70,6528,5588,18979,15819,6988,22766,581,63,15,3606,811,15819,48414.06771,36415,19585,32,28,8432,1916,590,107,4,17,1062,136
"44053, Lorain, OH",44053,19198,125,113,2339,2077,15072,13244,3236,15962,172,15,7,1945,358,13244,63594.0433,47936,27481,41,37,6662,941,248,33,4,5,585,66
"44054, Sheffield Lake, OH",44054,12425,149,161,307,324,11502,10911,706,11719,16,7,5,506,72,10911,66453.88161,56778,26972,39,38,4762,182,39,2,1,2,126,12
"44055, Lorain, OH",44055,19520,52,30,3401,2306,12475,8345,8214,11306,540,115,15,4843,608,8345,45281.29127,36472,17087,9,6,5110,2433,652,103,3,32,1508,135
"44060, Mentor, OH",44060,60128,824,835,734,740,57599,56873,898,59230,16,6,13,657,82,56873,86852.79831,71953,35642,291,287,23832,207,29,8,4,2,152,12
"44065, Newbury, OH",44065,3880,27,25,68,66,3720,3707,33,3847,0,0,1,18,2,3707,82883.05821,64097,33804,6,5,1488,10,2,0,1,0,7,0
"44070, North Olmsted, OH",44070,32250,953,872,703,618,29590,28914,1248,31002,29,3,2,866,125,28914,79301.58938,65868,33335,326,324,12639,396,77,8,2,1,288,20
"44072, Novelty, OH",44072,4442,54,48,62,55,4295,4260,56,4386,0,0,1,49,1,4260,136297.3259,75160,54300,12,12,1716,18,2,0,0,0,16,0
"44074, Oberlin, OH",44074,11649,396,405,1409,1393,9005,8591,583,11066,55,3,2,345,83,8591,75914.18289,63651,27752,69,69,3235,112,22,8,0,2,67,13
"44077, Painesville, OH",44077,57163,505,434,3567,3154,48711,46609,5638,51525,155,36,35,2505,355,46609,79916.43369,62799,31159,181,163,19535,1172,529,62,18,17,466,80
"44080, Parkman, OH",44080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44081, Perry, OH",44081,7214,53,50,61,57,6875,6641,373,6841,0,1,0,248,13,6641,79614.48242,69070,29351,15,15,2532,69,27,0,0,1,34,4
"44090, Wellington, OH",44090,10884,56,65,127,143,10446,10216,241,10643,6,3,1,165,25,10216,74902.79555,64274,29381,13,12,4110,43,9,0,1,0,31,2
"44092, Wickliffe, OH",44092,17171,245,243,1828,1816,14718,14528,244,16927,15,0,2,187,24,14528,67311.55519,53089,30193,87,85,6509,68,4,4,2,0,52,6
"44094, Willoughby, OH",44094,35710,669,676,1396,1391,32939,32547,474,35236,20,1,0,364,49,32547,83445.14611,65635,37262,278,278,14822,136,14,2,0,0,108,11
"44095, Eastlake, OH",44095,33243,299,306,719,719,31598,31185,507,32736,19,3,1,373,52,31185,68030.5164,57378,28894,118,118,13565,127,20,5,0,1,95,6
"44101, Cleveland, OH",44101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44102, Cleveland, OH",44102,45025,816,702,11678,9585,24360,20344,12538,32487,1163,108,46,5193,1193,20344,41572.34129,27932,17255,291,275,11109,3911,1493,344,16,38,1711,309
"44103, Cleveland, OH",44103,17518,574,562,14078,13875,2143,1988,749,16769,153,8,10,208,90,1988,38516.04511,24735,18465,234,230,1092,254,99,48,4,2,82,19
"44104, Cleveland, OH",44104,22442,24,24,21484,21311,532,507,261,22181,167,3,0,31,24,507,30160.5439,20049,12736,9,9,214,68,10,41,0,1,8,8
"44105, Cleveland, OH",44105,40321,71,67,29751,29453,8952,8618,1127,39194,201,2,4,434,133,8618,42933.8093,32962,17486,21,19,4338,334,102,57,2,1,145,27
"44106, Cleveland, OH",44106,27286,2595,2567,13411,13253,10406,10169,579,26707,114,5,19,292,75,10169,50159.86332,29383,23466,1004,1000,4573,185,20,30,4,1,110,20
"44107, Lakewood, OH",44107,52583,1078,1018,3742,3451,45168,43935,2456,50127,126,20,11,1529,264,43935,63799.59054,49403,31137,410,406,22475,869,204,27,4,9,564,61
"44108, Cleveland, OH",44108,24799,59,59,23134,23035,1136,1113,182,24617,94,2,0,28,35,1113,50742.2694,29930,20943,23,23,634,54,9,23,0,1,13,8
"44109, Cleveland, OH",44109,39540,464,359,6061,4499,26600,22785,10719,28821,751,70,40,4904,860,22785,45091.82984,34263,19007,152,133,11931,3322,1308,205,19,26,1565,198
"44110, Cleveland, OH",44110,19393,32,29,16339,16214,2514,2465,286,19107,122,4,3,52,51,2465,35371.99193,26008,16583,15,13,1512,93,19,36,2,1,23,11
"44111, Cleveland, OH",44111,38919,1091,990,5930,5073,27469,25056,6522,32397,413,36,15,3054,652,25056,56877.27428,44819,24468,317,311,12761,2027,759,107,6,13,1015,127
"44112, Cleveland, OH",44112,22420,85,83,20761,20623,1093,1061,222,22198,130,4,2,40,31,1061,39701.18891,28565,18614,41,41,613,71,8,37,0,1,19,6
"44113, Cleveland, OH",44113,18014,293,264,6013,5331,9452,8197,3696,14318,365,24,13,1619,332,8197,59886.59993,31990,29778,176,171,4924,1299,453,91,5,14,622,114
"44114, Cleveland, OH",44114,6601,1187,1169,2576,2512,2526,2406,363,6238,39,2,6,158,34,2406,58923.93191,31396,31190,526,524,1352,147,42,13,2,2,74,13
"44115, Cleveland, OH",44115,8365,296,291,6428,6345,1381,1322,224,8141,64,3,4,79,30,1322,29489.17716,14556,12686,120,118,528,73,17,19,2,2,26,7
"44116, Rocky River, OH",44116,20447,407,369,244,214,19367,19138,424,20023,10,5,2,312,34,19138,100922.3203,76713,46672,145,144,9037,140,22,1,1,1,105,10
"44117, Euclid, OH",44117,10581,61,60,7297,7226,2863,2813,154,10427,59,2,1,62,20,2813,44723.93461,29819,24296,20,20,1559,56,5,21,0,1,25,4
"44118, Cleveland, OH",44118,41252,1098,1077,15553,15286,23077,22658,1009,40243,139,5,12,566,122,22658,87400.09331,65592,35455,440,437,9476,309,48,48,3,1,175,34
"44119, Cleveland, OH",44119,12745,53,52,6073,6016,6223,6150,199,12546,36,0,1,95,37,6150,57888.49493,46255,27342,20,20,3154,65,15,13,0,0,24,11
"44120, Cleveland, OH",44120,36956,1208,1200,27378,27125,7338,7144,639,36317,205,12,6,245,72,7144,62666.77701,38622,28501,522,518,3403,203,35,63,4,4,79,18
"44121, Cleveland, OH",44121,31688,626,618,16095,15896,13755,13516,671,31017,140,4,6,303,107,13516,73037.65684,63711,30884,213,212,6446,175,30,34,1,4,89,17
"44122, Beachwood, OH",44122,33640,1598,1581,11805,11605,19220,18872,727,32913,108,4,5,459,71,18872,124394.8124,86234,54239,550,548,8497,220,22,25,2,1,154,14
"44123, Euclid, OH",44123,16779,153,152,8300,8165,7711,7599,353,16426,99,2,0,151,65,7599,60710.61151,49562,27963,57,57,4023,116,18,25,0,1,55,17
"44124, Cleveland, OH",44124,38653,2020,1967,3584,3473,32129,31750,721,37932,38,12,12,509,62,31750,89788.69284,64108,42266,771,769,15457,217,29,15,2,2,157,12
"44125, Cleveland, OH",44125,28758,439,430,8405,8217,18998,18658,736,28022,111,9,5,427,74,18658,62584.83123,52095,25762,131,129,8296,205,32,32,2,6,126,6
"44126, Cleveland, OH",44126,16134,282,250,324,282,15134,14790,588,15546,12,6,5,424,37,14790,78297.6029,62277,35213,102,102,6905,197,39,4,0,3,145,6
"44127, Cleveland, OH",44127,5136,10,10,3070,2969,1683,1561,443,4693,61,1,0,164,42,1561,33132.20193,23718,13534,6,6,828,145,55,14,0,1,64,11
"44128, Cleveland, OH",44128,28599,70,69,27102,26888,725,705,352,28247,208,6,1,26,58,705,51173.85607,42447,22498,30,29,334,99,19,53,1,5,11,9
"44129, Cleveland, OH",44129,28992,523,477,725,618,26755,26046,1315,27677,56,5,7,844,126,26046,65543.55597,57115,27827,176,173,11399,357,80,15,3,1,239,19
"44130, Cleveland, OH",44130,50735,1976,1848,1491,1341,45736,44772,1817,48918,70,15,19,1210,174,44772,66647.49811,54474,30354,687,683,21002,559,113,16,4,7,394,25
"44131, Independence, OH",44131,19280,470,429,170,145,18370,18227,284,18996,12,13,2,213,17,18227,88270.91102,73397,36059,146,145,7607,70,8,2,1,1,57,1
"44132, Euclid, OH",44132,13568,113,108,7144,7046,5903,5830,219,13349,89,3,5,82,18,5830,58780.06156,47041,26423,42,40,3005,67,6,24,2,2,27,6
"44133, North Royalton, OH",44133,30238,925,852,380,342,28404,28129,517,29721,9,3,0,411,37,28129,88101.32102,71404,37521,289,289,12207,153,22,2,0,1,118,10
"44134, Cleveland, OH",44134,38309,792,727,841,744,35549,34872,1355,36954,37,13,7,844,112,34872,66662.25717,57280,28510,261,258,15320,375,106,9,3,3,236,18
"44135, Cleveland, OH",44135,26198,686,636,5747,5215,17184,15970,3460,22738,270,35,18,1554,371,15970,52960.20536,43709,22687,195,189,7939,1023,371,61,6,12,512,61
"44136, Strongsville, OH",44136,25362,1104,1040,588,533,23019,22685,625,24737,26,2,6,447,57,22685,95948.04962,81643,38977,351,348,9384,166,26,5,3,2,122,8
"44137, Maple Heights, OH",44137,23348,247,244,16159,16000,6210,6116,403,22945,128,4,3,126,67,6116,55697.77901,45075,23324,75,74,3316,117,25,34,1,0,42,15
"44138, Olmsted Falls, OH",44138,22338,423,384,435,378,20960,20539,703,21635,20,5,1,528,51,20539,84118.8335,73360,34890,132,132,8774,202,27,2,0,0,160,13
"44139, Solon, OH",44139,24055,2530,2488,3058,2976,17943,17740,412,23643,42,5,8,283,37,17740,140389.0363,108905,50648,695,693,6784,99,10,7,2,1,73,6
"44140, Bay Village, OH",44140,15593,164,145,93,82,15053,14881,274,15319,0,2,0,229,16,14881,116984.6409,93015,46661,46,46,6058,75,8,0,0,0,64,3
"44142, Brook Park, OH",44142,19586,346,325,733,659,17840,17426,737,18849,31,3,0,507,67,17426,65689.95673,55508,27063,106,106,7449,202,40,10,0,1,136,14
"44143, Cleveland, OH",44143,23573,1220,1198,6357,6225,15450,15269,416,23157,67,2,10,262,26,15269,91425.16729,71834,39620,408,405,6799,123,11,25,3,1,78,5
"44144, Cleveland, OH",44144,21455,620,532,1350,1037,17535,16185,3147,18308,145,14,2,1694,262,16185,56100.39415,46718,25463,185,184,8371,1067,372,39,1,5,596,54
"44145, Westlake, OH",44145,32706,1750,1658,607,554,29468,28955,899,31807,23,7,4,665,60,28955,111618.7475,82237,48066,585,584,12825,272,48,5,1,5,210,3
"44146, Bedford, OH",44146,29703,345,340,16726,16501,11573,11362,693,29010,167,5,4,272,95,11362,60427.18399,50660,28517,119,116,5877,215,47,57,3,3,81,24
"44147, Broadview Heights, OH",44147,18887,1051,1004,421,391,17016,16810,384,18503,12,5,1,284,27,16810,101192.9907,84900,40604,309,309,6981,98,16,2,0,3,74,3
"44149, Strongsville, OH",44149,18494,869,811,336,309,16915,16722,365,18129,10,5,11,272,33,16722,106195.7489,90712,41078,244,240,6719,81,10,3,4,1,58,5
"44212, Brunswick, OH",44212,44668,647,608,525,497,42396,41810,1099,43569,6,13,11,665,106,41810,81344.03472,71107,30966,181,180,16315,281,62,1,1,1,206,10
"44215, Chippewa Lake, OH",44215,2427,12,11,10,9,2353,2334,40,2387,1,0,0,22,5,2334,66355.18036,57292,27559,4,4,980,8,2,1,0,0,5,0
"44233, Hinckley, OH",44233,7226,104,88,31,26,7010,6966,89,7137,0,0,0,75,2,6966,115362.699,94271,41608,27,27,2546,27,1,0,0,0,26,0
"44251, Westfield Center, OH",44251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44253, Litchfield, OH",44253,3885,7,6,22,23,3795,3748,62,3823,0,0,1,45,11,3748,93840.03822,83846,34171,1,1,1399,9,1,0,0,0,8,0
"44254, Lodi, OH",44254,4932,21,20,14,13,4810,4779,59,4873,0,3,0,36,7,4779,63035.00348,54097,25892,5,5,1978,16,3,0,0,3,8,2
"44274, Sharon Center, OH",44274,299,0,0,2,2,294,288,7,292,0,0,0,6,0,288,61736.40351,53125,23538,0,0,114,3,0,0,0,0,3,0
"44275, Spencer, OH",44275,3821,3,2,5,4,3738,3704,53,3768,1,0,1,33,8,3704,71994.7145,62541,25370,0,0,1325,11,1,1,0,0,7,2
"44280, Valley City, OH",44280,5526,46,40,91,85,5315,5264,89,5437,1,2,3,62,6,5264,105114.9714,87846,38472,10,9,1959,21,1,0,1,1,18,0
