Name,FIPS,"# Asian Population, Alone, 2019","# Population, Not Hispanic, Asian Alone, 2019","# Black Population, Alone, 2019","# White Non-Hispanic Population, 2019","# Population, Not Hispanic, Black Alone, 2019","# White Population, Alone, 2019","Average Household Income, 2019","# Population, 2019"
"45220, Cincinnati, OH",45220,1983,1971,3722,9650,3679,10018,69113,16473
"45219, Cincinnati, OH",45219,970,968,5425,9554,5378,9768,49330,16788
"45238, Cincinnati, OH",45238,668,656,5490,36419,5414,36804,84009,44555
"45208, Cincinnati, OH",45208,613,605,1257,14601,1228,14887,144670,17317
"45215, Cincinnati, OH",45215,595,589,9464,18259,9396,18589,90872,29855
"45211, Cincinnati, OH",45211,561,547,14023,23416,13940,23835,66193,40153
"45230, Cincinnati, OH",45230,545,532,1182,25608,1146,25982,124869,28571
"45202, Cincinnati, OH",45202,383,381,8781,7117,8690,7360,82954,17133
"45239, Cincinnati, OH",45239,365,363,8209,18634,8155,18908,77980,28673
"45227, Cincinnati, OH",45227,347,345,6287,11174,6240,11375,96601,18728
"45209, Cincinnati, OH",45209,346,345,1061,7754,1039,7985,104009,9821
"45205, Cincinnati, OH",45205,275,227,7130,9615,7081,9940,50323,19011
"45212, Cincinnati, OH",45212,269,254,3860,16360,3826,16920,68248,22388
"45216, Cincinnati, OH",45216,215,198,2534,5531,2487,6016,63921,9480
"45226, Cincinnati, OH",45226,183,177,316,5980,305,6082,148890,6814
"45206, Cincinnati, OH",45206,174,172,6825,3391,6778,3496,65844,10834
"45237, Cincinnati, OH",45237,166,165,14276,4252,14186,4329,71142,19311
"45224, Cincinnati, OH",45224,161,160,10479,7204,10442,7315,72860,18639
"45213, Cincinnati, OH",45213,159,156,6468,5082,6426,5224,83298,12487
"45229, Cincinnati, OH",45229,157,154,11287,2231,11227,2280,57400,14189
"45223, Cincinnati, OH",45223,111,107,7137,5066,7066,5171,63699,13016
"45233, Cincinnati, OH",45233,98,93,181,14646,178,14716,126045,15255
"45225, Cincinnati, OH",45225,82,78,7230,1460,7178,1563,34853,9325
"45207, Cincinnati, OH",45207,66,63,5463,1971,5427,2043,62870,7870
"45217, Cincinnati, OH",45217,63,60,2500,3685,2487,3738,79802,6584
"45214, Cincinnati, OH",45214,61,60,6378,2066,6341,2141,40791,8975
"45204, Cincinnati, OH",45204,53,53,1976,4194,1963,4338,49545,7002
"45232, Cincinnati, OH",45232,50,43,5601,1085,5558,1151,45056,7244
"45203, Cincinnati, OH",45203,15,15,1517,208,1504,216,44443,1818
